date|year|month|day|weekday|eng_name|eng_type|heb_name|heb_type|is_bank_holiday
2030-01-19|2030|1|19|Saturday|Tu Bishvat|Observance, Hebrew|"ט""ו בשבט"|חגים דתיים|0
2030-01-27|2030|1|27|Sunday|Holocaust Remembrance Day|International, business as usual|"יום הזכרון הבנ""ל לשואה"|ימים מוכרים בינלאומית|0
2030-03-18|2030|3|18|Monday|Fast of Esther|Observance, Hebrew|תענית אסתר|חגים דתיים|0
2030-03-19|2030|3|19|Tuesday|Purim|Local Holiday|פורים|חגים דתיים|0
2030-03-20|2030|3|20|Wednesday|Shushan Purim (Jerusalem)|Local Holiday|שושן פורים|חגים דתיים|0
2030-04-17|2030|4|17|Wednesday|Passover Eve|Observance, Hebrew|ערב פסח|חגים דתיים|0
2030-04-18|2030|4|18|Thursday|Passover (Day 1)|National holiday, Hebrew|פסח|חגים דתיים|1
2030-04-19|2030|4|19|Friday|Passover (Day 2)|Observance, Hebrew|חול המועד פסח (1)|חגים דתיים|0
2030-04-20|2030|4|20|Saturday|Passover (Day 3)|Observance, Hebrew|חול המועד פסח (2)|חגים דתיים|0
2030-04-21|2030|4|21|Sunday|Passover (Day 4)|Observance, Hebrew|חול המועד פסח (3)|חגים דתיים|0
2030-04-22|2030|4|22|Monday|Passover (Day 5)|Observance, Hebrew|חול המועד פסח (4)|חגים דתיים|0
2030-04-23|2030|4|23|Tuesday|Passover (Day 6)|Observance, Hebrew|ערב פסח (חג שני)|חגים דתיים|0
2030-04-24|2030|4|24|Wednesday|Passover (Day 7)|National holiday, Hebrew|שביעי של פסח|חגים דתיים|1
2030-04-30|2030|4|30|Tuesday|Yom HaShoah|Observance, Hebrew|יום הזכרון לשואה ולגבורה|חגים חילוניים|0
2030-05-07|2030|5|7|Tuesday|Yom HaZikaron|Observance, Hebrew|"יום הזכרון לחללי צה""ל"|חגים חילוניים|0
2030-05-08|2030|5|8|Wednesday|Yom HaAtzmaut|National holiday, Hebrew|יום העצמאות|חגים חילוניים|1
2030-05-21|2030|5|21|Tuesday|Lag BaOmer|Observance, Hebrew|"ל""ג בעומר"|חגים דתיים|0
2030-05-31|2030|5|31|Friday|Jerusalem Day|Observance, Hebrew|יום ירושלים|חגים חילוניים|0
2030-06-06|2030|6|6|Thursday|Shavuot Eve|Observance, Hebrew|ערב שבועות|חגים דתיים|0
2030-06-07|2030|6|7|Friday|Shavuot|National holiday, Hebrew|שבועות|חגים דתיים|1
2030-07-18|2030|7|18|Thursday|17th of Tammuz|Observance, Hebrew|צום שבעה עשר בתמוז|חגים דתיים|0
2030-08-07|2030|8|7|Wednesday|Tisha B'Av Eve|Observance, Hebrew|ערב תשעה באב|חגים דתיים|0
2030-08-08|2030|8|8|Thursday|Tisha B'Av|Observance, Hebrew|תשעה באב|חגים דתיים|0
2030-09-27|2030|9|27|Friday|Rosh Hashana Eve|Observance, Hebrew|ערב ראש השנה|חגים דתיים|0
2030-09-28|2030|9|28|Saturday|Rosh Hashana|National holiday, Hebrew|ראש השנה א'|חגים דתיים|1
2030-09-29|2030|9|29|Sunday|Rosh Hashana (Day 2)|National holiday, Hebrew|ראש השנה ב'|חגים דתיים|1
2030-09-30|2030|9|30|Monday|Gedaliah Fast|Observance, Hebrew|צום גדליה|חגים דתיים|0
2030-10-06|2030|10|6|Sunday|Yom Kippur Eve|Observance, Hebrew|ערב יום כיפור|חגים דתיים|0
2030-10-07|2030|10|7|Monday|Yom Kippur|National holiday, Hebrew|יום כיפור|חגים דתיים|1
2030-10-11|2030|10|11|Friday|Sukkot Eve|Observance, Hebrew|ערב סוכות|חגים דתיים|0
2030-10-12|2030|10|12|Saturday|Sukkot (Day 1)|National holiday, Hebrew|סוכות|חגים דתיים|1
2030-10-13|2030|10|13|Sunday|Sukkot (Day 2)|Observance, Hebrew|חול המועד סוכות (1)|חגים דתיים|0
2030-10-14|2030|10|14|Monday|Sukkot (Day 3)|Observance, Hebrew|חול המועד סוכות (2)|חגים דתיים|0
2030-10-15|2030|10|15|Tuesday|Sukkot (Day 4)|Observance, Hebrew|חול המועד סוכות (3)|חגים דתיים|0
